Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2026-01-09 07:45:00+00:00,25660.150390625,25730.400390625,25659.599609375,25691.05078125,0
2026-01-09 08:45:00+00:00,25695.05078125,25703.0,25623.5,25662.849609375,0
2026-01-09 09:45:00+00:00,25703.69921875,25703.69921875,25677.05078125,25694.150390625,0
2026-01-12 03:45:00+00:00,25556.900390625,25699.55078125,25529.400390625,25671.94921875,0
2026-01-12 04:45:00+00:00,25532.849609375,25598.19921875,25529.55078125,25556.900390625,0
2026-01-12 05:45:00+00:00,25578.30078125,25578.900390625,25473.400390625,25531.900390625,0
2026-01-12 06:45:00+00:00,25722.30078125,25738.099609375,25566.25,25577.5,0
2026-01-12 07:45:00+00:00,25728.44921875,25757.0,25687.25,25721.80078125,0
2026-01-12 08:45:00+00:00,25778.5,25813.150390625,25704.650390625,25727.94921875,0
2026-01-12 09:45:00+00:00,25806.099609375,25807.94921875,25778.30078125,25778.30078125,0
2026-01-13 03:45:00+00:00,25738.099609375,25889.0,25701.30078125,25886.05078125,0
2026-01-13 04:45:00+00:00,25788.599609375,25827.05078125,25726.099609375,25738.900390625,0
2026-01-13 05:45:00+00:00,25785.75,25819.30078125,25775.69921875,25788.0,0
2026-01-13 07:45:00+00:00,25636.55078125,25686.650390625,25621.44921875,25661.849609375,0
2026-01-13 08:45:00+00:00,25737.400390625,25757.150390625,25603.400390625,25636.25,0
2026-01-13 09:45:00+00:00,25714.19921875,25749.650390625,25710.44921875,25738.849609375,0
2026-01-14 03:45:00+00:00,25696.80078125,25761.30078125,25640.400390625,25647.05078125,0
2026-01-14 04:45:00+00:00,25726.25,25737.900390625,25661.349609375,25697.900390625,0
2026-01-14 05:45:00+00:00,25743.349609375,25791.30078125,25720.30078125,25723.69921875,0
2026-01-14 06:45:00+00:00,25747.150390625,25780.900390625,25734.5,25743.69921875,0
2026-01-14 07:45:00+00:00,25663.19921875,25757.30078125,25631.349609375,25746.75,0
2026-01-14 08:45:00+00:00,25652.849609375,25715.650390625,25604.099609375,25663.25,0
2026-01-14 09:45:00+00:00,25669.099609375,25677.400390625,25648.30078125,25655.25,0
2026-01-16 03:45:00+00:00,25783.650390625,25789.30078125,25679.19921875,25696.05078125,0
2026-01-16 04:45:00+00:00,25812.44921875,25872.849609375,25783.900390625,25784.94921875,0
2026-01-16 05:45:00+00:00,25823.599609375,25830.650390625,25770.25,25812.5,0
2026-01-16 06:45:00+00:00,25716.55078125,25829.19921875,25704.099609375,25824.650390625,0
2026-01-16 07:45:00+00:00,25688.25,25723.099609375,25662.80078125,25717.05078125,0
2026-01-16 08:45:00+00:00,25683.099609375,25720.44921875,25671.69921875,25688.05078125,0
2026-01-16 09:45:00+00:00,25699.150390625,25710.75,25681.599609375,25682.44921875,0
2026-01-19 03:45:00+00:00,25527.900390625,25631.599609375,25505.349609375,25631.599609375,0
2026-01-19 04:45:00+00:00,25537.75,25564.19921875,25494.94921875,25526.55078125,0
2026-01-19 05:45:00+00:00,25532.650390625,25549.900390625,25508.69921875,25538.0,0
2026-01-19 06:45:00+00:00,25534.650390625,25565.25,25510.650390625,25532.400390625,0
2026-01-19 07:45:00+00:00,25590.30078125,25630.650390625,25522.349609375,25533.400390625,0
